name,adcode,gb
巴彦县,230126,156230126
木兰县,230127,156230127
通河县,230128,156230128
延寿县,230129,156230129
尚志市,230183,156230183
五常市,230184,156230184
龙沙区,230202,156230202
建华区,230203,156230203
铁锋区,230204,156230204
昂昂溪区,230205,156230205
富拉尔基区,230206,156230206
碾子山区,230207,156230207
梅里斯达斡尔族区,230208,156230208
龙江县,230221,156230221
依安县,230223,156230223
泰来县,230224,156230224
甘南县,230225,156230225
富裕县,230227,156230227
克山县,230229,156230229
克东县,230230,156230230
拜泉县,230231,156230231
讷河市,230281,156230281
鸡冠区,230302,156230302
恒山区,230303,156230303
滴道区,230304,156230304
梨树区,230305,156230305
城子河区,230306,156230306
麻山区,230307,156230307
鸡东县,230321,156230321
虎林市,230381,156230381
密山市,230382,156230382
向阳区,230402,156230402
工农区,230403,156230403
南山区,230404,156230404
兴安区,230405,156230405
东山区,230406,156230406
兴山区,230407,156230407
萝北县,230421,156230421
绥滨县,230422,156230422
尖山区,230502,156230502
岭东区,230503,156230503
四方台区,230505,156230505
宝山区,230506,156230506
集贤县,230521,156230521
友谊县,230522,156230522
宝清县,230523,156230523
饶河县,230524,156230524
萨尔图区,230602,156230602
龙凤区,230603,156230603
让胡路区,230604,156230604
红岗区,230605,156230605
大同区,230606,156230606
肇州县,230621,156230621
肇源县,230622,156230622
林甸县,230623,156230623
杜尔伯特蒙古族自治县,230624,156230624
伊美区,230717,156230717
乌翠区,230718,156230718
友好区,230719,156230719
嘉荫县,230722,156230722
汤旺县,230723,156230723
丰林县,230724,156230724
大箐山县,230725,156230725
南岔县,230726,156230726
金林区,230751,156230751
铁力市,230781,156230781
向阳区,230803,156230803
前进区,230804,156230804
东风区,230805,156230805
郊区,230811,156230811
桦南县,230822,156230822
桦川县,230826,156230826
汤原县,230828,156230828
同江市,230881,156230881
富锦市,230882,156230882
抚远市,230883,156230883
新兴区,230902,156230902
桃山区,230903,156230903
茄子河区,230904,156230904
勃利县,230921,156230921
东安区,231002,156231002
阳明区,231003,156231003
爱民区,231004,156231004
西安区,231005,156231005
林口县,231025,156231025
绥芬河市,231081,156231081
海林市,231083,156231083
宁安市,231084,156231084
穆棱市,231085,156231085
东宁市,231086,156231086
爱辉区,231102,156231102
逊克县,231123,156231123
孙吴县,231124,156231124
北安市,231181,156231181
五大连池市,231182,156231182
嫩江市,231183,156231183
北林区,231202,156231202
望奎县,231221,156231221
兰西县,231222,156231222
青冈县,231223,156231223
庆安县,231224,156231224
明水县,231225,156231225
绥棱县,231226,156231226
安达市,231281,156231281
肇东市,231282,156231282
海伦市,231283,156231283
漠河市,232701,156232701
呼玛县,232721,156232721
塔河县,232722,156232722
黄浦区,310101,156310101
徐汇区,310104,156310104
长宁区,310105,156310105
静安区,310106,156310106
普陀区,310107,156310107
虹口区,310109,156310109
杨浦区,310110,156310110
闵行区,310112,156310112
宝山区,310113,156310113
嘉定区,310114,156310114
浦东新区,310115,156310115
金山区,310116,156310116
松江区,310117,156310117
青浦区,310118,156310118
奉贤区,310120,156310120
崇明区,310151,156310151
玄武区,320102,156320102
秦淮区,320104,156320104
建邺区,320105,156320105
鼓楼区,320106,156320106
浦口区,320111,156320111
栖霞区,320113,156320113
雨花台区,320114,156320114
江宁区,320115,156320115
六合区,320116,156320116
溧水区,320117,156320117
高淳区,320118,156320118
锡山区,320205,156320205
惠山区,320206,156320206
滨湖区,320211,156320211
梁溪区,320213,156320213
新吴区,320214,156320214
江阴市,320281,156320281
宜兴市,320282,156320282
鼓楼区,320302,156320302
云龙区,320303,156320303
贾汪区,320305,156320305
泉山区,320311,156320311
铜山区,320312,156320312
丰县,320321,156320321
沛县,320322,156320322
睢宁县,320324,156320324
新沂市,320381,156320381
邳州市,320382,156320382
天宁区,320402,156320402
钟楼区,320404,156320404
新北区,320411,156320411
武进区,320412,156320412
金坛区,320413,156320413
溧阳市,320481,156320481
虎丘区,320505,156320505
吴中区,320506,156320506
相城区,320507,156320507
姑苏区,320508,156320508
吴江区,320509,156320509
常熟市,320581,156320581
张家港市,320582,156320582
昆山市,320583,156320583
太仓市,320585,156320585
通州区,320612,156320612
崇川区,320613,156320613
海门区,320614,156320614
如东县,320623,156320623
启东市,320681,156320681
如皋市,320682,156320682
海安市,320685,156320685
连云区,320703,156320703
海州区,320706,156320706
赣榆区,320707,156320707
东海县,320722,156320722
灌云县,320723,156320723
灌南县,320724,156320724
淮安区,320803,156320803
淮阴区,320804,156320804
清江浦区,320812,156320812
洪泽区,320813,156320813
涟水县,320826,156320826
盱眙县,320830,156320830
金湖县,320831,156320831
亭湖区,320902,156320902
盐都区,320903,156320903
大丰区,320904,156320904
响水县,320921,156320921
滨海县,320922,156320922
阜宁县,320923,156320923
射阳县,320924,156320924
建湖县,320925,156320925
东台市,320981,156320981
广陵区,321002,156321002
邗江区,321003,156321003
江都区,321012,156321012
宝应县,321023,156321023
仪征市,321081,156321081
高邮市,321084,156321084
京口区,321102,156321102
润州区,321111,156321111
丹徒区,321112,156321112
丹阳市,321181,156321181
扬中市,321182,156321182
句容市,321183,156321183
海陵区,321202,156321202
高港区,321203,156321203
姜堰区,321204,156321204
兴化市,321281,156321281
靖江市,321282,156321282
泰兴市,321283,156321283
宿城区,321302,156321302
宿豫区,321311,156321311
沭阳县,321322,156321322
泗阳县,321323,156321323
泗洪县,321324,156321324
上城区,330102,156330102
拱墅区,330105,156330105
西湖区,330106,156330106
滨江区,330108,156330108
萧山区,330109,156330109
余杭区,330110,156330110
富阳区,330111,156330111
临安区,330112,156330112
临平区,330113,156330113
钱塘区,330114,156330114
桐庐县,330122,156330122
淳安县,330127,156330127
建德市,330182,156330182
海曙区,330203,156330203
江北区,330205,156330205
北仑区,330206,156330206
镇海区,330211,156330211
鄞州区,330212,156330212
奉化区,330213,156330213
象山县,330225,156330225
宁海县,330226,156330226
余姚市,330281,156330281
慈溪市,330282,156330282
鹿城区,330302,156330302
龙湾区,330303,156330303
瓯海区,330304,156330304
洞头区,330305,156330305
永嘉县,330324,156330324
平阳县,330326,156330326
苍南县,330327,156330327
文成县,330328,156330328
泰顺县,330329,156330329
瑞安市,330381,156330381
乐清市,330382,156330382
龙港市,330383,156330383
南湖区,330402,156330402
秀洲区,330411,156330411
嘉善县,330421,156330421
海盐县,330424,156330424
海宁市,330481,156330481
平湖市,330482,156330482
桐乡市,330483,156330483
吴兴区,330502,156330502
南浔区,330503,156330503
德清县,330521,156330521
长兴县,330522,156330522
安吉县,330523,156330523
越城区,330602,156330602
柯桥区,330603,156330603
上虞区,330604,156330604
新昌县,330624,156330624
诸暨市,330681,156330681
嵊州市,330683,156330683
婺城区,330702,156330702
金东区,330703,156330703
武义县,330723,156330723
浦江县,330726,156330726
磐安县,330727,156330727
兰溪市,330781,156330781
义乌市,330782,156330782
东阳市,330783,156330783
永康市,330784,156330784
柯城区,330802,156330802
衢江区,330803,156330803
常山县,330822,156330822
开化县,330824,156330824
龙游县,330825,156330825
江山市,330881,156330881
定海区,330902,156330902
普陀区,330903,156330903
岱山县,330921,156330921
嵊泗县,330922,156330922
椒江区,331002,156331002
黄岩区,331003,156331003
路桥区,331004,156331004
三门县,331022,156331022
天台县,331023,156331023
仙居县,331024,156331024
温岭市,331081,156331081
临海市,331082,156331082
玉环市,331083,156331083
莲都区,331102,156331102
青田县,331121,156331121
缙云县,331122,156331122
遂昌县,331123,156331123
松阳县,331124,156331124
云和县,331125,156331125
庆元县,331126,156331126
景宁畲族自治县,331127,156331127
龙泉市,331181,156331181
瑶海区,340102,156340102
庐阳区,340103,156340103
蜀山区,340104,156340104
包河区,340111,156340111
长丰县,340121,156340121
肥东县,340122,156340122
肥西县,340123,156340123
庐江县,340124,156340124
巢湖市,340181,156340181
镜湖区,340202,156340202
鸠江区,340207,156340207
弋江区,340209,156340209
湾沚区,340210,156340210
繁昌区,340212,156340212
南陵县,340223,156340223
无为市,340281,156340281
龙子湖区,340302,156340302
蚌山区,340303,156340303
禹会区,340304,156340304
淮上区,340311,156340311
怀远县,340321,156340321
五河县,340322,156340322
固镇县,340323,156340323
大通区,340402,156340402
田家庵区,340403,156340403
谢家集区,340404,156340404
八公山区,340405,156340405
潘集区,340406,156340406
凤台县,340421,156340421
寿县,340422,156340422
花山区,340503,156340503
雨山区,340504,156340504
博望区,340506,156340506
当涂县,340521,156340521
含山县,340522,156340522
和县,340523,156340523
杜集区,340602,156340602
相山区,340603,156340603
烈山区,340604,156340604
濉溪县,340621,156340621
铜官区,340705,156340705
义安区,340706,156340706
郊区,340711,156340711
枞阳县,340722,156340722
迎江区,340802,156340802
大观区,340803,156340803
宜秀区,340811,156340811
怀宁县,340822,156340822
太湖县,340825,156340825
宿松县,340826,156340826
望江县,340827,156340827
岳西县,340828,156340828
桐城市,340881,156340881
潜山市,340882,156340882
屯溪区,341002,156341002
黄山区,341003,156341003
徽州区,341004,156341004
歙县,341021,156341021
休宁县,341022,156341022
黟县,341023,156341023
祁门县,341024,156341024
琅琊区,341102,156341102
南谯区,341103,156341103
来安县,341122,156341122
全椒县,341124,156341124
定远县,341125,156341125
凤阳县,341126,156341126
天长市,341181,156341181
明光市,341182,156341182
颍州区,341202,156341202
颍东区,341203,156341203
颍泉区,341204,156341204
临泉县,341221,156341221
太和县,341222,156341222
阜南县,341225,156341225
颍上县,341226,156341226
界首市,341282,156341282
埇桥区,341302,156341302
砀山县,341321,156341321
萧县,341322,156341322
灵璧县,341323,156341323
泗县,341324,156341324
金安区,341502,156341502
裕安区,341503,156341503
叶集区,341504,156341504
霍邱县,341522,156341522
舒城县,341523,156341523
金寨县,341524,156341524
霍山县,341525,156341525
谯城区,341602,156341602
涡阳县,341621,156341621
蒙城县,341622,156341622
利辛县,341623,156341623
贵池区,341702,156341702
东至县,341721,156341721
石台县,341722,156341722
青阳县,341723,156341723
宣州区,341802,156341802
郎溪县,341821,156341821
泾县,341823,156341823
绩溪县,341824,156341824
旌德县,341825,156341825
宁国市,341881,156341881
广德市,341882,156341882
鼓楼区,350102,156350102
台江区,350103,156350103
仓山区,350104,156350104
马尾区,350105,156350105
晋安区,350111,156350111
长乐区,350112,156350112
闽侯县,350121,156350121
连江县,350122,156350122
罗源县,350123,156350123
闽清县,350124,156350124
永泰县,350125,156350125
平潭县,350128,156350128
福清市,350181,156350181
思明区,350203,156350203
海沧区,350205,156350205
湖里区,350206,156350206
集美区,350211,156350211
同安区,350212,156350212
翔安区,350213,156350213
城厢区,350302,156350302
涵江区,350303,156350303
荔城区,350304,156350304
秀屿区,350305,156350305
仙游县,350322,156350322
三元区,350404,156350404
沙县区,350405,156350405
明溪县,350421,156350421
清流县,350423,156350423
宁化县,350424,156350424
大田县,350425,156350425
尤溪县,350426,156350426
将乐县,350428,156350428
泰宁县,350429,156350429
建宁县,350430,156350430
永安市,350481,156350481
鲤城区,350502,156350502
丰泽区,350503,156350503
洛江区,350504,156350504
泉港区,350505,156350505
惠安县,350521,156350521
安溪县,350524,156350524
永春县,350525,156350525
德化县,350526,156350526
金门县,350527,156350527
石狮市,350581,156350581
晋江市,350582,156350582
南安市,350583,156350583
芗城区,350602,156350602
龙文区,350603,156350603
龙海区,350604,156350604
长泰区,350605,156350605
云霄县,350622,156350622
漳浦县,350623,156350623
诏安县,350624,156350624
东山县,350626,156350626
南靖县,350627,156350627
平和县,350628,156350628
华安县,350629,156350629
延平区,350702,156350702
建阳区,350703,156350703
顺昌县,350721,156350721
浦城县,350722,156350722
光泽县,350723,156350723
松溪县,350724,156350724
政和县,350725,156350725
邵武市,350781,156350781
武夷山市,350782,156350782
建瓯市,350783,156350783
新罗区,350802,156350802
永定区,350803,156350803
长汀县,350821,156350821
上杭县,350823,156350823
武平县,350824,156350824
连城县,350825,156350825
漳平市,350881,156350881
蕉城区,350902,156350902
霞浦县,350921,156350921
古田县,350922,156350922
屏南县,350923,156350923
寿宁县,350924,156350924
周宁县,350925,156350925
柘荣县,350926,156350926
福安市,350981,156350981
福鼎市,350982,156350982
东湖区,360102,156360102
西湖区,360103,156360103
青云谱区,360104,156360104
青山湖区,360111,156360111
新建区,360112,156360112
红谷滩区,360113,156360113
南昌县,360121,156360121
安义县,360123,156360123
进贤县,360124,156360124
昌江区,360202,156360202
珠山区,360203,156360203
浮梁县,360222,156360222
乐平市,360281,156360281
安源区,360302,156360302
湘东区,360313,156360313
莲花县,360321,156360321
上栗县,360322,156360322
芦溪县,360323,156360323
濂溪区,360402,156360402
浔阳区,360403,156360403
柴桑区,360404,156360404
武宁县,360423,156360423
修水县,360424,156360424
永修县,360425,156360425
德安县,360426,156360426
都昌县,360428,156360428
湖口县,360429,156360429
彭泽县,360430,156360430
瑞昌市,360481,156360481
共青城市,360482,156360482
庐山市,360483,156360483
渝水区,360502,156360502
分宜县,360521,156360521
月湖区,360602,156360602
余江区,360603,156360603
贵溪市,360681,156360681
章贡区,360702,156360702
南康区,360703,156360703
赣县区,360704,156360704
信丰县,360722,156360722
大余县,360723,156360723
上犹县,360724,156360724
崇义县,360725,156360725
安远县,360726,156360726
定南县,360728,156360728
全南县,360729,156360729
